Energy(keV)    Fluence
 10              0.05              
 20              0.10              
 30              0.20              
 40              0.35              
 50              0.50              
 60              0.65              
 70              0.80              
 80              0.90              
 90              1.00              
100              0.95              
120              0.85              
140              0.70              
160              0.50              
180              0.35              
200              0.20              
220              0.10              
240              0.05              
250              0.02              

